movie_id,genre_id
5,35
11,12
11,28
11,878
12,12
12,16
12,10751
13,18
13,35
13,10749
14,18
15,18
15,9648
18,12
18,28
18,878
19,18
19,878
22,12
22,14
22,28
24,28
24,80
25,18
25,10752
27,18
27,10402
27,10749
28,18
28,10752
33,37
35,16
35,35
35,10751
38,18
38,878
38,10749
58,12
58,14
58,28
59,18
59,53
59,80
62,12
62,878
62,9648
63,53
63,878
63,9648
65,18
65,10402
68,35
68,878
69,18
69,10402
69,10749
70,18
73,18
74,12
74,53
74,878
75,14
75,35
75,878
76,18
76,10749
77,53
77,9648
78,18
78,53
78,878
79,12
79,18
79,28
79,36
80,18
80,10749
81,12
81,14
81,16
82,28
82,53
82,80
85,12
85,28
87,12
87,28
88,18
88,10402
88,10749
89,12
89,28
90,28
90,35
90,80
95,12
95,28
95,878
96,28
96,35
96,80
97,12
97,28
97,878
98,12
98,18
98,28
101,18
101,28
101,80
103,18
103,80
104,18
104,28
104,53
105,12
105,35
105,878
106,12
106,28
106,53
106,878
107,35
107,80
111,18
111,28
111,80
114,35
114,10749
115,35
115,80
116,18
116,53
116,10749
117,36
117,53
117,80
118,12
118,14
118,35
118,10751
120,12
120,14
120,28
121,12
121,14
121,28
122,12
122,14
122,28
128,12
128,14
128,16
129,14
129,16
129,10751
134,12
134,35
134,80
136,18
136,27
137,14
137,35
137,10749
141,14
141,18
141,9648
142,18
142,10749
146,12
146,18
146,28
146,10749
149,16
149,28
149,878
150,28
150,35
150,80
153,18
153,35
153,10749
155,28
155,53
155,80
161,53
161,80
162,14
162,18
162,10749
163,53
163,80
164,18
164,35
164,10749
165,12
165,35
165,878
167,18
167,878
167,9648
168,12
168,878
169,28
169,53
169,878
170,27
170,53
170,878
173,12
173,14
173,878
175,12
175,18
175,10749
176,27
176,80
176,9648
180,28
180,53
180,878
184,18
184,53
184,80
185,80
185,878
186,18
186,53
186,80
186,9648
187,53
187,80
189,28
189,53
189,80
192,18
192,53
192,9648
194,35
194,10749
196,12
196,35
196,878
197,18
197,28
197,36
197,10752
207,18
213,12
213,53
214,27
214,53
214,80
215,27
217,12
217,28
218,28
218,53
218,878
227,18
227,80
231,18
231,53
235,18
235,80
238,18
238,80
239,35
239,80
239,10749
240,18
240,80
241,18
241,53
241,80
242,18
242,53
242,80
244,12
244,14
244,27
246,12
246,18
246,28
251,14
251,53
251,10749
252,14
252,35
252,10751
253,12
253,28
253,53
254,12
254,18
254,28
262,18
262,35
268,14
268,28
268,80
272,18
272,28
272,80
274,18
274,53
274,80
275,18
275,53
275,80
277,14
277,28
277,53
278,18
278,80
279,18
279,36
279,10402
280,28
280,53
280,878
284,18
284,35
284,10749
285,12
285,14
285,28
288,18
288,37
288,53
289,18
289,10749
293,18
296,28
296,53
296,878
297,14
297,18
297,10749
298,53
298,80
301,18
301,37
310,14
310,35
311,18
311,80
314,14
314,28
314,80
319,28
319,80
319,10749
320,18
320,53
320,80
322,18
322,53
322,80
322,9648
326,12
326,27
326,28
326,53
326,80
329,12
329,878
334,18
335,18
335,37
345,18
345,53
345,9648
346,18
346,28
348,27
348,878
350,18
350,35
364,14
364,28
377,27
378,35
378,80
380,18
387,18
387,36
387,10752
388,18
388,53
388,80
389,18
391,37
392,18
392,35
392,10749
393,28
393,53
393,80
395,12
395,27
395,28
395,878
402,53
402,9648
406,18
408,14
408,16
408,10751
409,18
409,10749
409,10752
411,12
411,14
411,10751
414,14
414,28
414,80
415,12
415,28
415,878
421,12
421,18
421,35
423,18
423,10752
424,18
424,36
424,10752
425,12
425,16
425,35
425,10751
426,53
426,9648
426,10749
429,37
433,14
433,35
433,10751
435,12
435,53
435,878
440,27
440,28
440,53
440,878
451,18
451,10749
453,18
453,10749
454,18
454,10749
462,18
470,18
470,53
470,80
479,12
479,28
479,53
479,80
483,53
483,80
483,10749
489,18
490,14
490,18
492,14
492,18
492,35
496,35
497,14
497,18
497,80
500,53
500,80
503,12
503,18
503,28
503,53
504,18
504,80
508,18
508,35
508,10749
509,35
509,10749
510,18
524,18
524,80
525,28
525,35
525,80
525,10402
533,12
533,16
533,35
533,10751
534,28
534,53
534,878
539,27
539,53
539,9648
544,35
544,10749
548,18
548,80
548,9648
550,18
550,53
553,18
553,53
553,80
557,28
557,878
558,12
558,28
558,878
559,12
559,28
559,878
561,14
561,27
